,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/4GlSMUpzSd3cliYGFJVziSDX53S.jpg,"[12, 14]",671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",188.818,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.9,20951
1,False,/8f9dnOtpArDrOMEylpSN9Sc6fuz.jpg,"[12, 14, 10751]",674,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools — the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named. In this fourth film adaptation of J.K. Rowling's Harry Potter series, everything changes as Harry, Ron and Hermione leave childhood forever and take on challenges greater than anything they could have imagined.",175.462,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,2005-11-16,Harry Potter and the Goblet of Fire,False,7.8,16010
2,False,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,"[12, 14]",672,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",179.125,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,2002-11-13,Harry Potter and the Chamber of Secrets,False,7.7,16946
3,False,/kT8bDEAgEYBKhRJtqM97qTw6uRW.jpg,"[12, 14]",767,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",136.824,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,2009-07-07,Harry Potter and the Half-Blood Prince,False,7.7,15006
4,False,/obKmfNexgL4ZP5cAmzdL4KbHHYX.jpg,"[12, 14]",673,en,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",144.61,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,2004-05-31,Harry Potter and the Prisoner of Azkaban,False,8.0,16661
5,False,/7qKWTyYvkyIrWgkUOHiNxHv3FNK.jpg,"[12, 14, 9648]",675,en,Harry Potter and the Order of the Phoenix,"The rebellion begins! Lord Voldemort has returned, but the Ministry of Magic is doing everything it can to keep the wizarding world from knowing the truth – including appointing Ministry official Dolores Umbridge as the new Defence Against the Dark Arts professor at Hogwarts. When Umbridge refuses to teach practical defensive magic, Ron and Hermione convince Harry to secretly train a select group of students for the wizarding war that lies ahead. A terrifying showdown between good and evil awaits in this enthralling film version of the fifth novel in J.K. Rowling’s Harry Potter series. Prepare for battle!",140.399,/s836PRwHkLjrOJrfW0eo7B4NJOf.jpg,2007-06-28,Harry Potter and the Order of the Phoenix,False,7.7,15251
6,False,/kkUQ8zpBKe0L7ZkgsojWC85pYpi.jpg,"[14, 12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",143.578,/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg,2011-07-07,Harry Potter and the Deathly Hallows: Part 2,False,8.1,16125
7,False,/AqLcLsGGTzAjm3pCCq0CZCQrp6m.jpg,"[12, 14]",12444,en,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",120.298,/f1geQ0I9UETRF1ed30voZfw8zT.jpg,2010-10-17,Harry Potter and the Deathly Hallows: Part 1,False,7.8,14966
8,False,/4LOxoeZWt5wr9mooxEZRFK96lDd.jpg,[99],483898,en,50 Greatest Harry Potter Moments,"To mark the release two weeks ago of the eighth and final movie in the series, Robbie Coltrane narrates a countdown of the movie franchise's best moments. From Harry's first meeting with Ron and Hermione aboard the Hogwarts Express through to magical mysteries.",34.961,/g1xiBoLD6v3ZaXPa4QtuXiQeYKW.jpg,2011-07-27,50 Greatest Harry Potter Moments,False,8.1,33
9,False,,[99],833629,en,"Creating the World of Harry Potter, Part 2: Characters",Dive deeper into the World of Harry Potter by focusing on the characters in the film and going behind the scenes with filmmakers.,26.403,/cKkb3UlCQl86SYEYi6aGtfGnFbf.jpg,2009-12-08,"Creating the World of Harry Potter, Part 2: Characters",False,2.0,1
10,False,/mjCYpJXCBYDZgMr1U1KZcFgFDfC.jpg,[99],482408,en,Harry Potter: A History Of Magic,"A thrilling journey through legends, belief and folklore, this film goes behind the scenes with the British Library as they search to tell that story through objects in their collection, in an ambitious new exhibition: Harry Potter: A History Of Magic.  J.K. Rowling, who is lending unseen manuscripts, drawings and drafts from her private archives (which will sit alongside treasures from the British Library, as well as original drafts and drawings from Jim Kay) talks about some of the personal items she has lent to the exhibition and gives new insight into her writing, looking at some of the objects from the exhibition that have fired her imagination.",14.418,/geike7VgTrftxwzcvND4dRdZdAv.jpg,2017-10-28,Harry Potter: A History Of Magic,False,6.9,32
11,False,,[99],833635,en,"Creating the World of Harry Potter, Part 3: Creatures",Go behind the scenes in the World of Harry Potter and explore the magic behind the creatures throughout the films.,20.675,/w4aWl5YsmYPTdVaopHaIf5eRKB6.jpg,2009-10-19,"Creating the World of Harry Potter, Part 3: Creatures",False,0.0,0
12,False,,[99],830418,en,"Creating the World of Harry Potter, Part 1: The Magic Begins",One from a series of documentaries on the making of the Harry Potter cinematic universe.,23.139,/3MG0azaFj7sukbM3EzRRvgw7ZnH.jpg,2009-11-17,"Creating the World of Harry Potter, Part 1: The Magic Begins",False,5.5,1
13,False,,[99],319391,en,J.K. Rowling and the Birth of Harry Potter,"In this fascinating (unauthorized) biographical documentary, you'll get the inside scoop on the creative force behind one of the greatest publishing phenomena in the last 100 years -- J.K. Rowling, author of the Harry Potter series of books. Explore Rowling's meteoric rise from obscurity into the ranks of the world's richest women (via her books), and visit the people and places that played a significant role in her life.",5.762,/hY6Ndq1O4JiEngZ7xIOtcLUCDTX.jpg,2004-12-07,J.K. Rowling and the Birth of Harry Potter,True,6.2,5
14,False,/cAEl4xVInHfc7UG05qwlzSxhmNd.jpg,[35],747105,fr,"Harry Potter, c’est le mal",Have you seen Jesus?,3.674,/1qieHspAGWrAOO3ycQjSoY2oeB6.jpg,2016-01-01,"Harry Potter, c’est le mal",False,7.0,1
15,False,,[99],830412,en,"Creating the World of Harry Potter, Part 5: Evolution",One from a series of documentaries on the making of the Harry Potter cinematic universe.,8.21,/gZHqS7uwcK1oeyHvCyNnO5olbLt.jpg,2011-06-14,"Creating the World of Harry Potter, Part 5: Evolution",False,0.0,0
16,False,,[99],833649,en,"Creating the World of Harry Potter, Part 7: Story",One from a series of documentaries on the making of the Harry Potter cinematic universe.,7.311,/yTAvJglf38zM0WFAfb2QRNubTXi.jpg,2012-09-07,"Creating the World of Harry Potter, Part 7: Story",False,0.0,0
17,False,,[99],830415,en,"Creating the World of Harry Potter, Part 6: Magical Effects",One from a series of documentaries on the making of the Harry Potter cinematic universe.,8.447,/jTuHZAIiAMjAtMmxIYyIFmG2AN0.jpg,2011-06-14,"Creating the World of Harry Potter, Part 6: Magical Effects",False,7.7,3
18,False,,"[99, 10751]",116972,en,Discovering the Real World of Harry Potter,"Explore the myths and legends that inhabit the real world of Harry Potter. Follow award-winning documentary filmmakers as they offer insights to witches, wizards, Greek gods, ancient Celts, ghosts, magical creatures, alchemy, and ancient spells. Narrated by British actor Hugh Laurie, this fascinating documentary brings new dimensions to the historical and scientific world behind the Harry Potter series.",4.584,/yLpnOqKw3ZycFu8t5Gil1BqTbnB.jpg,2001-12-10,Discovering the Real World of Harry Potter,False,6.6,9
19,False,,[99],833642,en,"Creating the World of Harry Potter, Part 4: Sound and Music",Go behind the scenes in the World of Harry Potter and explore the magic behind the sound and music throughout the films.,6.739,/9ggBb565oW8pNRY7jsI4j4p0Ui7.jpg,2009-10-19,"Creating the World of Harry Potter, Part 4: Sound and Music",False,0.0,0
